Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
got a new # if you want it let me know.,5,5,2,1
"Ergh, Anatomy, 16 page outline AND 15 pages of pictures to label by TOMORROW, I curse you procrastination. May you rot forever in purgatory",3,3,4,5
i bought my wedding dress monday and i cant wait to have it on again!!!! its sooo beautiful,8,8,7,9
Hot pot!,7,5,7,8
"Pleading... if anyone would like to do a tax credit, instead of paying what you would pay to the State, our Kindergartners really would like to go on a field trip to the pumpkin patch & with district cuts, we have to pay for our own bus.  Email me for more info - 23 kinders would be grateful!  Thanks",5,4,3,3
"In memory of every cancer patient, family members & friends who has lost their battle with cancer, and in honpor of those who continue to conquer!  Put this up for 1 hour if you love someone who has or had cancer. Many won't copy & paste. I am proud to. Will you?",6,4,3,6
"6 down, 3 to go, come on S4S! Make me a happy guy! :)",7,8,6,8
Pancakes were apperantly good <PERSON> :D:D i hope we dont get sick after them :D,6,8,5,6
Got my new tat! I got it on my cest. I didnt get to finish it cuz it hurt too fucking much. Fuckin awesome lookin tho,7,7,7,9
ABCDEFUCK,3,3,4,5
Big weekend coming up. My band are performing at the Bay of IslandS Country Rock Festival... YEEEEHHHAAAAAAA!!!,8,7,9,7
is looking for a job here in Indy...Any suggestions?????,5,5,4,3
"Successful people do not focus on the Problem. They only focus on the Solution\. Be Focused on Solution.\""""",4,5,4,2
Reggie Bush is the MAN!!!!,7,7,7,8
I never thought it would happen to me! A co-worker just asked me if I was having a case of the Mondays!,4,5,6,6
good night everyone!!!pleas smile before you go to bed..in case something happen...and you fall asleep indefinitely...you have a smile in your face....,6,4,5,4
Driving to cape may for the weekend now. So bored...,4,3,3,1
"ATTENTION EVERYONE---There's a site called <URL> that's a new online phone book w/personal information: everything from pics you've posted on FB or web, your approx credit score, home value, income, age, etc. You can remove yourself by first searching for yourself on their site to find the URL of your page, then going to the Privacy button on the bottom of their page to remove yourself. Copy & repost",5,5,5,1
Cracked another one!!! One to go!!!,6,7,7,8
is contemplating how to spend his Xbox points...,5,5,2,1
la lingaw.. sleepy na.. work napud ugma. hehehe,5,6,3,1
"according to nbc news people getting social security won't get an increase bcause the cost of living isn't going up, because the inflation rate is negative.....          first of all the cost of living is always going up, second of all the inflation rate is not negative, and third: if i was negative it wouldn't be 'in'flation, it wuld be 'de'flation",4,3,3,3
school be messed up,3,2,3,3
florida virtual school sux ass,3,1,4,4
Finally got a working phone again....and its nice!,7,7,6,5
"After a discussion on the environment and our natural world (that we're destroying) a 7 year old raised her hand with something to say.,Well",5,3,3,3
"<PERSON>       No matter what your party is, this is not the time to point fingers.  This woman and many other people were attacked by a person that should have been out of society.  I have everyone in my prayers to include <PERSON>, and I am a hardcore conservitive.  Remember that this is America and we can all think differently, this should not result in what happened today.  God be with you",3,7,4,1
"she shld win the new zealand award for miss blob\ i love you dad hahaha\""""",6,7,6,3
"How can a cell phone that can hold tons of pictures claim that the texting inbox is full\ at under a hundred short text messages?\""""",4,3,4,2
"Thanks for the B-day wishes everybody! I had a great day...Saints mopped the floor with the Giants(5-0 Woo, Hoo!), then we had sushi! Who could ask for more?!",7,9,6,9
Drank some KC Tea last night. Pretty good!!,6,7,5,8
cause she is an american ggggiiiirrrlll!!!! got to give it up for tom petty,6,6,6,8
is starting my first night at my new job tonight.............I'm so happy!  :),8,9,7,7
"yea, JETS.. shut up",5,4,4,2
is fixin' to have a party this halloween.,6,5,2,1
I have had a amazing day. Thanks for your encouragement <PERSON>. I am on fire. I then got to go to a christian concert in Sedalia to see <PERSON> he sings my savior lives. There was also <PLACE> Weave and it was life changing and wonderful and I am so thankful and blessed.,6,9,4,4
an edition of 14 was completed today... that was nice. :D  Now just one more edition of 5.  But for now: shower time then Symbolic Logic time... yeesh....,6,6,5,2
So ive learned that things are weird not a bad  weird but a good weird,6,7,3,1
I think I have spent more than 90% of time for others and less than 1% for myself. And slowly I am realizing that almost everyone in this world has almost the same statistics. It feels good as I am not the only victim but it also compells me to think if this is the ideal way of living life!,6,3,4,6
Someone should make a <PERSON> Facts website to compete against Chuck Norris.,5,5,2,1
"doesn't like to be reminded of that i-know-wat's-gd-for-u\ attitude that gahment institutions display\""""",3,2,3,4
"Just got back from handling class/shopping a little while ago. I was trying on some heals for my rotc uniform, which was a bad idea since my ankle got irritated in class. When i put the heals on, i could barly walk in them and my hurt ankle was litterally popping and rolling.... So much for getting better. :/",3,2,4,3
A life of wisdom consists of being constantly engaged in letting go,5,5,2,1
"i honestly never saw the enjoyment in watching people do physical activity, such as play football, who cares?",5,3,4,3
"Oh, looks like we're going to have to draw some... STRAWS.",4,5,5,4
I have no patience... hahaha....,5,5,4,3
,6,6,3,1
"Dogs are fantastic. Chester farts, then gets up and runs out of the room and leaves me to deal with it.",6,4,3,1
TOTP this sat,4,6,4,1
fun in the sun!!,7,7,7,7
Has Anyone Else Realized That The People On Family Guy Only Have 4 Fingers?,5,5,5,1
sooo tierd,4,4,3,3
.--. Put this dog on .//^ ^\\\\ your profile (/(_ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢_)\\) to show ._/''*''\\_ that you are (/_)^(_\\) against animal cruelty,5,5,2,4
: Many of the great achievements of the world were accomplished by tired and discouraged men who kept on working,6,7,4,1
"I'm hoping to go to the zoo and Great wolf....I hope I can, I hope I can......................",6,6,3,4
patiently waiting out the days,4,5,2,1
"It's true that we don't know what we've got until we lose it, but it's         also true that we don't know what we've been missing until it arrives.",5,5,3,1
<PERSON> thinks its funny to stick his fingers down his throat and make himself vommit.....,4,4,4,2
Ok. All done with the beach today. Might do the Promenade tonight or tomorrow.,6,5,2,1
6 hrs until mid night release for black ops.,6,6,2,1
wow so many people from school have found me lately. i'm really happy that they even remember me. i miss you guys,7,8,5,4
"Happy bday to my angel <PERSON>...I miss you and love you. See you soon...\""""",7,8,6,4
"Yay~ going to Ontario Mills with <PERSON> and <PERSON> For her birthday~ >u< Pfftt but she's late, as I expected... =3=#",7,7,6,5
"not exactly a magical birthday being the first day of <PERSON> and yardah, yardah, yardah...birthday messages definitely cheered me up though! :D",6,3,6,4
has nothing on her mind.,5,5,2,1
This Iz ReAL,6,5,4,1
"<PERSON> 40:31        But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",6,6,1,2
"The Government is lost to the <PERSON>, an alien Empire that gives free food and med to the world but not all are so trusting. A loose group of families  the media calls the unmarked flee to the remote areas of the states, Provence and ghettos of the world.... just what in my head!...",3,3,4,5
DOG FAIRFAX COUNTY BET NOT FAKE i aint trynna have no skool dough,4,5,5,4
"There is no greater gift you can give or receive than to honor your ,calling. It's why you were born. And how you become most truly alive.",6,7,3,3
Im cool like ****,6,6,4,1
Loves pizza..,6,6,3,2
how many times do i have to mistreat you constantly biting my hands as i feed you ?,3,4,5,2
Just got accepted into the kitchen manager program...with a baby on the way...what to do? what to do?...,4,4,6,4
"First day in school with for course taken in six hours and Mass hearing by 5:00 to 6:00 pm then followed by the first talk in singles for christ The Love of God\. I maximized my time to accommodate all my activities""",4,6,4,1
"Anyone who knows anything of history knows that great social changes are impossible without feminine upheaval. Social progress can be measured exactly by the social position of the fair sex, the ugly ones included.  <PERSON>",4,6,4,3
holy fuck its supposed to get up to the 90s for the weekends :P,4,6,6,7
Can someone remind me of what summer feels like again?,4,5,4,1
Yay! It's friday!,6,8,7,7
conspiracy theory. My land lord thinks I'm stilling light bulbs from my own house. How can they go bad he asked me. Hum let me think. He's right light bulbs never go out. What was I thinking. So any way hit me up if you need a light bulb. I have so many. And maybe I can even get you a magic bulb that never needs replacing. O MY GOD,3,3,4,5
"Christmas is almost here!!! Jesus was born 2,010 years and 341 days ago... PRAISE JESUS!!!",8,8,6,9
Being sick sucks.,4,3,4,3
P-A-R-T-Y !,6,7,7,6
Just got my new cell phone yesterday text meh :D <PHONE>,6,7,4,4
"It finally cooled off enough to open the windows and cool off the house before bed. However, a skunk has decided to do his stinky business outside. Eww. Bad skunk. Bad.",4,4,3,3
<PERSON> is fat. =] Very Fat,5,6,3,4
Shh Did you hear that! OMG it's calling me -.yep my bed is calling.. night all sweet dream..Zzz,6,6,4,5
"omg, y is life so difficult??? when one door closses another one opens, well where the f*** is the other door...",4,2,6,7
Black hats sideways white bold LA,5,5,3,1
Gone to the Greenway for a 2.5 mile run!,6,7,6,4
"Why yes I did slaughter <PERSON> in ping pong, thanks for asking.",6,7,3,1
I am now officially a certified personal trainer,6,6,2,3
I bought megaman 10 for my wii.  It's the hardest game ever T^T,4,5,3,1
"20 years ago, on a night just like tonight....road called roller coaster...",5,5,2,1
"I feel like I should clean the house, so I am going to lay down until the feeling passes...:P*",5,5,2,2
did'nt realise how bad a dead leg could be.... 4 days.. and its still as bad as day 1....WTF,4,3,4,4
Wow-so many bday wishes continue to come-thanks so much everyone!...and I have to give a shout out to the BEST sous chef working to prepare us an awesome dinner at the Hyeholde in Moon-Amy Hebster's man-<PERSON>!!,7,8,5,7
I GOT DEM BRAIN DAWGS!,7,5,7,9
"PHONE NUMBERS IS NOW ON FACEBOOK!! NO JOKE... Go to the top right of your screen, click Account then Edit Friends. Go to the left side of your screen and click Phonebook. Everyone's phone numbers are now being published. Please repost to let your ...friends know this is happening so they can remove their        number..        SCARY STUFF",4,4,7,7
every Catholic should look-up this Poem. Audrey Assad got her insperation for her single 'For Love Of You from this Poem: As King Fishers Catch Fire -Gerard Manely Hopkins,6,5,2,1
Wow... Dad. Awesome moment of my teenage life? I think it falls in there. Thanks! =],7,8,5,4
fell in2 a muddy brook,4,4,3,1
When you know who you are and who's you are then you don't have to respond to negativity. Let the Lord fight your battles. He can do it way better than you can. Trust in the Lord and lean not to your own understanding. Self-check.,6,5,2,3
One CRAZY ASS day glad its over...,4,4,5,5
"In my line of work, I rarely have the opportunity to actually refuse anything; as such, I really appreciate all of the invites and requests regarding lame-ass Facebook games.  Flatly ignoring them is quite cathartic for me.",4,2,3,3
"There is a chicken and an egg in bed, chicken has head on pillow and is smoking. Egg rolls over annoyed and saysi guess we answered that question.\\""""",5,5,2,1
I am bored,5,4,1,2
Making love with my ego.,5,5,1,1
feels tight literally!,5,6,5,4
You guys are great.,7,7,3,3
Feel knackered but great couple of days with the best company. <PERSON> as always great show great guy! Role on next gig,6,7,4,6
I got this for sure!,6,8,6,6
"tHANk U EVERy1 4 All tHE HAPPy BDAyS . i HAD fUN , DiNNER N a MOViE tHANkS BABE .",7,7,5,4
IS SUPER STRESSED AND ITS JUST THE SECOND MONTH OF SCHOOL..D:,3,2,6,8
"I accept full responsibilty for the all the wrong I've done,If you thought I was perfect,I apologise for being human ,But never again ,You can put my life on that",4,3,3,4
Make New Year's........like a fuckin' Catalina Wine Mixer!!!!!,6,8,7,9
You rise. You fall. Your down then you rise again. What don't kill ya make ya more strong.,6,5,3,1
<PERSON> going with <PERSON> today is like going into a gun fight with a spoon. LETS GO YANKEES!,6,7,6,7
if you need to ask if you are full time... you are def not full time yeaaaaaaaaaaaaaa yeahhhhh,4,4,5,3
"Note to self just because it says \Flammable\"" it doesnt mean its a sugguestion...\"" <PERSON>.\""""",5,5,3,1
"Playing guitar, hanging with pals: walking on air is the life.",6,7,2,3
":will be afk for the weekend, wet weather camping is a skill we should all have!",6,7,4,6
Thanks for the prayers :),6,7,3,6
I was working at grad night the intire time and i've had 3hours of sleep!,4,4,5,6
do i have DOORMAT written on my forehead...?   =/,4,3,3,5
"When you've been blessed it feels like heaven!\\""""",6,7,5,7
"life's confusing... sometimes you feel happy, sometimes you feel sad... sometimes you're sad because you're happy... that's just so damn retarded...",4,2,4,4
LOL how true 'Urban Dictionary' <PERSON> buy <PERSON> mugs,5,6,4,4
"I wish <PERSON> would phone or email me. He should be in Seattle by now, he's been gone almost a week and not a word. :(",4,2,4,5
my son <PERSON> baked me a birthday cake last night all by himself and everyone sang Happy birthday to me....I felt the love! Today the weather is so beautiful...is it really November 7th? Feels like spring out!,8,9,6,8
Ouch.....my head,3,3,3,3
" Men marry women with the hope they will never change. Women marry men with the hope they will change. Invariably they are both disappointed.\ <PERSON>\""""",4,5,2,1
BYE EVERYONE FOR 3 WEEKS I AM GOING TO ARMENIA BABY SEE YOU GUYS LATER,6,7,6,9
is touched by all the birthday wishes. THANK YOU ALL!!!!!!!!!!!!!!!! XOXOXOX  My smile is so big it can split my face !!! :))))))))))))))))),7,9,7,9
"Had a LOOONGG but great day at work... now its time to sit back and relax the best way i can ,)",7,9,4,4
One mo gen upportin one of ma boyz as they take dat plunge BEST WISHES <PERSON> AND <PERSON> Im honored to stand with you as you embark on the next chapter in your life.  LOVE YOU GUYS LIKE A PLAY COUSIN!,7,8,6,7
........,5,5,1,3
workin 7 days a week is good for tha $ but like i wanna go catch a flick ya kno! insted of just workin and catchin some drinks afterwards! ya kno...lol who wants to go with me! i gonna try to get a day off this or next week,6,6,5,4
There's apart of me that really misses other worlds...and longs to live in one of them right now.,4,3,4,2
holy shit monday night was amazing,6,8,6,4
"rest in peace <PERSON>. you were my first love, you will always hold a very special place in my heart. you will be in my thoughts and prayers. i miss you <3",4,7,4,4
What does time mean to you? How would you define it?,5,5,3,1
Stayed up till 4 last night playing overlord raising hell. how i do not know,5,5,3,1
"If a doctor removed you still-living brain moments before you died, and kept it alive with a tank of fluid enriched with blood, and finally transplanted your brain into a patient whose own brain was severely damaged..which home would the patient return to.. yours or theirs?",5,5,3,1
"After such a long time, I finally get to receive  my package!!! Although I need to declare my medical status, I don't  need to do any medical checkup!! WOOTS !!! :D",7,8,7,9
"if faith is a choice then it can be lost for a man, an angel, or the devel himself. God gave us a choice, he didn't comand us. he gave his love to all of us. i pray that all won't lose faith, hope, or love and won't give up, but to fight and defend the weak who are in need. the choice is yours don't lose it.",6,7,2,4
OH EM GEE I LOVE MY SISTER <PERSON> SO MUCH! I WISH I WERE AS COOL AS HER!!!!!!!!!!!!! LIKE I CANT EVEN BELIEVE THAT I AM SO LUCKY TO HAVE HER AS MY SUPER DUPER AWESOME BIG SISTER!!!!!!! :DDDDDDD,8,8,9,9
JELLYPUSS....,5,5,5,4
RAMADAN MUBARAK TO ALL,6,6,6,6
i wish i could run into all my friends that i used to have here in windsor although that was in the sixth grade lol,6,6,5,3
Wow what a game Boston could have had it but Lakers took it.,4,6,4,3
Wow! Fun wedding =P Congradulations <PERSON> and <PERSON>!,7,8,6,7
At last :),6,7,4,5
is ready to go :-)),6,7,4,5
yayy! electric guitar!!,7,8,7,7
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best",4,5,3,6
Looking for more team mates please send me an invite,5,5,2,1
Getting ready to go to Graduation.  So prpud of you Jess. We love you,6,8,4,1
Rest In Peace <PERSON> I Will Never Forget You.,5,3,3,1
... just signed the lease! Officiallly living with my girl <PERSON> for next year! yayyy!,6,8,6,7
Been about two weeks since last Tae Kwon Doe Lesson. This is going to hurt.,4,3,3,1
"Life is full of fake peoplBefore you judge them,make sure you are not one of them.",4,3,3,4
"Antibiotics are kicking in...trying to cough up my lungs, but at least not feeling so run down.  Just in time to go home tomorrow morning....good times.",4,3,3,3
CARE TO BE MY NEW FRIEND?,5,5,4,7
"listening to In the Hall of the Mountain King, Perpetuum Mobile- a Musical Joke, and some hard core Mozart.... real music doesn't rely on words to show emotion!",6,6,5,5
Goin Home after a Year today :),6,7,5,5
Talked to Banky today. That was a surprise. He sounded really good and he sounds really focused for when he comes home. Slow day at work,6,6,3,3
Got an E75 today.... awesome phone :),6,7,5,4
dnt get scared.... jst missing my.... darling curles....,5,5,3,1
Just got my Ipod Touch,5,5,2,1
"OH BLESSED DAY!!!!   Getting ready to go out and about for the day, wife says Can we please stop by Gamestop?\  she is finally growing into the gamer I know she can be!!!\""""",6,7,7,9
Hmmm work on A) Solo and Ensemble B) Debate C) Chess or D) Academics? I pick E) Facebook and Xbox! (:,6,6,4,3
"is fed up of searching for info on The Man Who Knew Too Much\. Can anyone help?\""""",5,5,3,3
"Thanks for all the B-day wishes.  Unfortunetly, I've been sick since then.  But I'm better now and just in time to leave tomorrow for PUERTO RICOOOO!!!",7,7,6,7
"The moment your dreams become a reality, is the moment you know you're finally living!! Any other experience is just ceasing to exist....",6,6,4,5
Since im stuck in Morgantown....alchy-cider sledding,5,5,3,1
"Just spent two hours cleaning out the basement of boxes and miscellaneous items that were in them. Must've been about 40-50 boxes...Now most are in the garage because we have yet to go through all of them. Yay, I get to look forward to this in the Spring and Summer AGAIN.",4,2,4,4
going home today the kids were great this weekend god i never knew how much i rlly missed them i wish they never had to go back. i love you <PERSON> and <PERSON> i wish u guys would never grow up. i<3 <PERSON>,6,9,5,4
Life is full of surprises n suspenses [ :)]..... but sometimes it's unbearable :(,4,4,4,5
trying to figure out how to work this thing hopefully i get it.,4,5,3,1
thanks to everyone who wished me a happy birthday you are all amazing,6,8,4,3
:),6,7,2,4
My birthday is tomorrow!!!! so excited,7,8,7,7
"I am glad I am feeling better I am ready to go back to work I have lived on the phone and computer all day in my Pjs ... Only bad thing is i moved some of my accounts to Sat .. so now I have to work over the weekend and my daughter is bugging me to go to a dog show and I can't ,, Or I may not have my accounts  ):",4,4,4,1
thanks for the birthday wishes everyone!!!,7,7,7,5
Summmerrrsss baaaccckkkk!!!! God i missed fb!!!,7,7,8,8
"if theres a fat guy in a pastry shop with a twenty dollar bill and he's ready to buy, in order to predict his volume change you need to know the value of pi",5,5,3,1
"I think <PERSON> is obsessed with me, and that is just weird....        jk",5,5,2,3
Thanks to everyone who said Happy birthday to me.....      (cant wait for March 9) :],6,6,4,4
Is anyone having a Halloween party on Halloween,5,5,2,1
Coffee!!!,6,6,6,6
Time to log off ...,5,5,2,1
Kinda upset at a couple friends but I might have a job so they aren't that important. Are they?,5,3,3,4
Yay!!! Uni is finally finished for the year :) hello three months off :),6,8,7,8
"If you are avoiding me just because your being teased, it might mean that you are a coward. You never faced the words thrown that are against your will. But I will never get angry at you because you are still stuck somewhere in my heart where i might not find you for years. I will wait for you to come near me and say something to me. I would be glad to hear it from you, ****** :) :) :) Happy Valentines Day!!",6,5,4,5
"Let it snow, let it snow!",6,7,4,4
"They may want to take Christ out of Christmas, but they can never take Christ out of me. If you are not ashamed of Christ then post this as your status for 1 day as a light to the world. Most people will be to ashamed or scared to do this. Remember Jesus Said. Whoever acknowledges me before men",6,3,4,5
Why is it always so hard... and hurts so bad...,4,1,3,3
Make a good life for yourself because no one is going to do it for you! :),6,7,5,5
"Over the past 50 years <PERSON> employed 88 joke writers who supplied         him with more than one million gags, and he still couldn't make me         laugh.",4,4,3,3
answered a question on Friend FactsÃ¢â€žÂ¢,5,5,2,1
good luck to everybody with exams *prays*,6,6,2,1
Ain't the world very confusing ? or am I retarded !?,4,4,6,3
Life is a matter of choice. Why do I often make decision and in the meantime feel that I have to be responsible for what I do not choose??,4,3,5,5
likes hammering nails more than weeding paths,5,5,3,1
"mistakes will always come back and haunt yooou.  i regret something for the first time in my liffe, i hate this feeeeling.  <3",4,3,3,4
The Walking dead television pilot will commense filiming May 15th 2010. FUCK YES,6,7,7,7
"Started work, makin bank!",6,7,5,6
"2 missed FG's, dammit!!! Still like <PERSON> though any kicker that gets in bar fights is cool with me, but seriously make those FG's!",5,4,6,7
"Damp again this morning, maybe the angry old lady will let us paint in the dew today instead of sending us home, but I doubt it.",4,4,4,3
ok... just finished reading the latest bleach manga. so <PERSON> still plans to milk bleach even more by starting a new arc. I wonder if <PERSON> would start from scratch again here? it also looks like <PERSON> would have a bigger role.,5,5,2,1
Cant wait until June 12,6,6,4,4
"Pizza reaches home faster than Ambulance & police,  Car loans @ 5% and education loan @ 12%, Rice is Rs 40/- per kg but SIM card is free, The footwear is sold in AC showrooms, but vegetables, that we eat, are sold on footpaths...Got to change something here...",4,2,4,5
Is all set for tomorrow :D i am so excited :),6,7,6,8
Stupid Frontierville bear scared my cat and it clawed me -.-,4,4,4,5
loui is great  in bed,6,6,3,1
<PERSON> Shortall <3,6,6,2,2
My friends are going back home!!! I'll miss you guys so much!!! :((,4,2,6,8
Shout outs to <PERSON> and bro for getting me to airport early-- they're axing the last 24 passengers that checked in due to weight restriction! Holy balls,6,5,5,6
Mrs <PERSON> and i are gonna go shopping!!!,6,7,7,7
shame on the West Indies :-( good luk for T&T :-),5,4,4,4
is having such a great day!! thanks so so much for all of the birthday wishes/blessings/love!!!,7,8,6,8
"Okay, school being out isn't so bad...... been able to sleep 3 extra hours is AWESOME! Getting up @ 8 am is better than 5!",6,7,5,7
Need to be extra careful now a days. flu...conjunctive eyes...typhoid .........are the most common results of ignorance :(,4,2,4,4
DOTA DOTA DOTA..hehehehe isshhhh...micro..hmpf...,6,5,5,6
is having a MRI done today...she prays 4 a answer 2 her pain and a healn n her body. God Bless FB.,5,5,4,1
So I finally became a member of facebook. Yay joy lets hear it for what boredome does to our minds....,5,4,3,2
about yo buy my bus tickets back to vt!,6,7,5,5
"I was told today that I have alot of pistures of me up on Facebook.My response to that was,I LOVE MYSELF!...Its true! I can be disliked or hated by anybody,but my head remains high. Deuces",6,7,4,5
is enjoying her day off!!,7,7,6,5
the squirell is dead and im sad :'( lagrima,3,3,4,4
What a long day! Birthday parties always drain me. Renting Weeds season 6 and snuggling up with my lovey all night. Ahhh...,6,7,5,5
Thanks for all the birthday wishes friends..appreciate it...,6,6,3,1
"New ideas in the dead of night when dreaming is natural ...\\""""",6,5,3,3
"With so much drama in the LBC, It's kinda hard bein' Snoop D-O double G, But I somehow, some way, keep comin', Up with funky-ass shit like every single day        May I kick a little somethin' for the G's and make a few ends as I, Breeze through two in tha mornin and the party's still jumpin, Cause my mama ain't home.",5,5,4,1
"Got sent home from work early, now I'm at chillin at home bored and in hella pain. Wish the doctor would have precribed me some pain killers.",4,4,4,1
"Sudden change of plans. Some work I was hoping to do for my family got canceled, and that may cost me what I need to get to The Honeypot on the 27th. I should know in the next couple days if I am going thurs or not :/",4,4,3,2
War on my page. Just need one more person to attack and its over,4,5,2,1
"So in Ga. there are now a tiny fraction of children who just happened to be in that mystical, magical age range to have woken up in all of the wind we had on chrismas eve and heard the little branches and acorns tapping on the roof and who will swear for the next few years that they HEARD SANTA.  I love it.",6,7,4,3
"sorry to all the farmvill and mafia players... But, i dont think ill be doing that.",5,3,2,3
I finally switched to swing.  We'll see if I can sleep at night.,5,5,4,3
Alcohol servers license class  in seaside.  Call <PHONE>,5,5,1,1
XDDDDDOOOOOOOOXXXXDDDODODOXOOOXOODODOXDX:D:DOX:OD:XO:DOX:DOX::D:DDOOX:DOXD!!!!!!!!!!!!!!!!!!!!!!!!!!!!,6,7,8,9
Give the most perfect and simple situation to <PERSON>,5,5,2,1
"((OOC: I'm probably going to work on my sisters house until 9 o'clock for the rest of the Summer Break.... D: Sorry <PERSON>, and <PERSON>. I can only RP for sometimes now... I need the energy to work.))",5,4,4,4
"saw the blind side last night, favorite football movie ever!",6,7,5,5
Thanks guys! Had a great b-day in GA with the fam.,6,7,5,5
"is getting ready to take the youngest to see the princess and the frog, should be fun!",6,7,5,5
"India Foxtrot Yankee Oscar Uniform <PERSON> Alpha November Uniform November Delta Echo<PERSON> Sierra Tango Alpha November Delta Tango Hotel India Sierra,<PERSON> Oscar Papa Yankee Alpha November Delta Papa Alpha Sierra Tango Echo Tango <PERSON> Yankee Oscar Uniform Romeo Sierra Tango Alpha Tango Uniform Sierra!!!",5,6,6,7
The weekend is almost here!  YAY!,6,7,6,6
i am so bored,4,4,1,2
What the hell is a tweet?,4,4,3,4
We tied South but soooo should hav won!!!!!,5,3,7,7
got sick......resting......,4,4,1,3
Reliving his childhood,5,5,1,1
me to mom: remember that time i got a LD mom: phsch,5,5,2,1
I am Logizomechanophobic!,5,5,6,5
ROLL TIDE!!!!!,5,5,7,9
uhh i hate it when the instutor lets us go early and i have to wait anthor hour for my next class to start.,4,3,4,5
Thank you all for the thinking about me:)  God I am getting old.,6,6,4,5
I made some really tasty mac n cheese soup tonight.  It was yummy!,6,6,5,4
"Will i ever get to where i'm going.... if i do, will i know when i am there?  If the wind blew me in the right direction, would i even care.... i would.",5,5,1,3
Just told all the 6th Graders at my school that Santa is a magical ninja who will kill for cookies and they belived me. Love this job.,6,7,4,3
Brought my truck back from the dead yesterday... yee haw!  OMG zombie truck...,6,7,5,6
Bummer...my Cowboys.....,4,3,2,3
"They just robbed that man on So You Think You Can Dance\!!!!\""""",4,3,6,7
birthdays don't feel like birthdays anymore,4,2,3,3
"Through the mayer's ruined head, the boy steps through the window and cries out from the ledge to the people below. Theres a time to pray and theres a time to fight. Anything can be a weapon if your holding it right. Defend what is yours, they will not take our souls. It's time not to rise, and fight.' Save Our City - Ludo",6,5,1,3
WTF! Why do i now own the season set of Glee? Because it rocks!,6,7,5,7
Time to finish moving all my stuff.... lets hope it doesn't take too long,5,5,3,1
HAPPY THANKSGIVING,6,6,5,5
Lil <PERSON> walks in the bedroom and dad has mom bent over going at it. Dad winks at <PERSON> and <PERSON> leaves. Dad thinks he better talk to <PERSON>. After looking through the whole house dad finds <PERSON> upstairs with grandma bent over putting it to her hard. Dad flips out. What the hell are you doing?<PERSON> winks and says...... Not so funny when its your mom huh bitch?!,4,5,4,4
YOUMACON WAS ABSOLUTELY AMAZING GONNA START GETTING READY FOR NEXT YEAR VERY SOON,7,7,6,8
Babe I'm not drowning in your silent eyes. So who died and make you king of anything?,3,5,3,3
Thx all for the well wishes!,6,6,4,4
<PERSON> and <PERSON> are in New York on a cub scout overnight on the SS Littlerock. <PERSON> and I had a great afternoon shopping with no guys complaining about how long we were taking! Wonderful.,6,7,5,3
Really tired this evening.  Been cleaning all day and now its time to relax and call it a day.  Good Monday everyone.,6,5,2,1
"Caaaan't sleep D:,And I've got to wake up in a few hours for work D: D: D:",3,3,3,6
